url,nama,perguruan_tinggi,program_studi,bidang,sinta_score_overall,sinta_score_3yr,affil_score_overall,affil_score_3yr
https://sinta.kemdiktisaintek.go.id/authors/profile/6030110,TAUFIK NUR ADI,Universitas Telkom,S1 - Sistem Informasi,"Software Engineering, Machine Learning, Artificial Intelligence, Reinforcement Learning, Logistic",676,229,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6670086,DHARMAYANTI,Universitas Gunadarma,S1 - Informatika,"human motion, Image Processing, Artificial Intellegence",373,181,373,181
https://sinta.kemdiktisaintek.go.id/authors/profile/6166910,DAMAR WICAKSONO,Universitas Tidar,S1 - Teknologi Informasi,"Control System, Embedded System, Artificial Intelligence, Computer Vision, Business Intelligence",495,183,220,89
https://sinta.kemdiktisaintek.go.id/authors/profile/5972888,AHMAD ABDUL CHAMID,Universitas Muria Kudus,S1 - Teknik Informatika,"Artificial Intelligence, Machine Learning, Natural Language Processing, Information System",1.370,477,1.370,477
https://sinta.kemdiktisaintek.go.id/authors/profile/5975193,IWAN AWALUDIN,Politeknik Negeri Bandung,D4 - Teknik Informatika,"Signal Processing, Signal Processing, Artificial Intelligence, Artificial Intelligence, Game Programming, Game Programming",688,358,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6721676,MUHAMMAD RIZAL,Politeknik Negeri Ujung Pandang,D4 - Teknik Komputer Dan Jaringan,"Internet of Things, Artificial Intelligence, Computer Science",459,168,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6659709,LALU MUTAWALLI,STMIK Lombok,S1 - Sistem Informasi,"Artificial Intelligence, Software Engineer",512,252,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6834971,MARDIANSYAH PUTRA,Universitas PGRI Silampari,S1 - Ilmu Komputer,"Sistem Informasi, AI, Database, System Development",26,25,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6782822,IRWANDA SYAHPUTRA,Universitas Samudra,S1 - Informatika,"Artificial Intelligence, Expert System",56,25,56,25
https://sinta.kemdiktisaintek.go.id/authors/profile/6741205,HARSO KURNIADI,Universitas Islam Kadiri,S1 - Teknik Komputer,"Game, Kecerdasan Buatan, Jaringan Komputer",15,10,15,10
https://sinta.kemdiktisaintek.go.id/authors/profile/6744986,"DR. ELIN HAERANI, ST, M.KOM",Universitas Islam Negeri Sultan Syarif Kasim Riau,S1 - Teknik Informatika,Kecerdasan Buatan,349,210,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6006949,EKA PANDU CYNTHIA,Universitas Islam Negeri Sultan Syarif Kasim Riau,S1 - Teknik Informatika,"Artificial Intelligence, Data Science",445,208,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6075582,PAULINA ALIANDU,Universitas Katolik Widya Mandira Kupang,S1 - Ilmu Komputer,"Sentiment analysis, Artificial Intelligent, Data Science, Data Mining",121,6,121,6
https://sinta.kemdiktisaintek.go.id/authors/profile/6779900,Boni Sena,Universitas Singaperbangsa Karawang,S1 - Teknik Mesin,"Energy modelling, energy efficiency, artificial intelligence, fluid mechanics, energy conversion",335,195,335,195
https://sinta.kemdiktisaintek.go.id/authors/profile/6043576,SAIFUL NURARIF,Sekolah Tinggi Manajemen Informatika dan Komputer Triguna Dharma,S1 - Sistem Komputer,"Machine Learning, Data Mining, Expert System, Computer Security",476,182,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6643682,PUTERI NORAISYA PRIMANDARI,Universitas 17 Agustus 1945 Surabaya,S1 - Teknik Informatika,Kecerdasan Buatan,398,257,398,257
https://sinta.kemdiktisaintek.go.id/authors/profile/6176255,TATIK MELINDA TALLULEMBANG,Universitas Musamus Merauke,S1 - Sistem Informasi,sistem pakar,252,65,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6153134,HERDIESEL SANTOSO,STMIK El Rahma,S1 - Sistem Informasi,"Kecerdasan Buatan, Data Mining, Sistem Informasi, Sistem Pendukung Keputusan",274,77,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5992882,JOKO SUBUR,Universitas Hang Tuah,S1 - Teknik Elektro,"Microcontroler, Artificial Intelligence, Image Processing, Robotics, Computer Vision",546,262,546,262
https://sinta.kemdiktisaintek.go.id/authors/profile/6828243,DINA YULINA HERIYANI,Universitas Sarjanawiyata Tamansiswa,S1 - Informatika,"Sistem Pakar, Sistem Pendukung Keputusan, Logika Fuzzy, Kecerdasan Buatan",129,120,129,120
https://sinta.kemdiktisaintek.go.id/authors/profile/6694902,DIMAS ARYO ANGGORO,Universitas Bakrie,S1 - Teknik Informatika,"Data Science, Algorithms and Programming, Artificial Intelligence, Software Engineering",944,437,0,0
